,Genotype,Stage,Sample,DBLatype,Count,CountN
79,AS,Ring,AS04,DBLa2,336.53099999999995,0.8123862401931196
80,AS,Ring,AS05,DBLa0,23589.442000000017,34.961306003883045
81,AS,Ring,AS05,DBLa1,9257.93,13.720940227943023
82,AS,Ring,AS05,DBLpam,3211.0,4.758940613282348
83,AS,Ring,AS05,DBLa2,1400.693,2.0759311131860145
84,AS,Trophozoite,AS06,DBLa0,9612.375999999995,79.95655963343191
85,AS,Trophozoite,AS06,DBLa1,585.9669999999998,4.874123253056601
86,AS,Trophozoite,AS06,DBLa2,279.26099999999997,2.3229167065241563
87,AS,Trophozoite,AS06,DBLpam,22.000999999999998,0.1830061858270147
88,AS,Ring,AS07,DBLa0,18043.287000000004,79.640193421559
89,AS,Ring,AS07,DBLpam,1198.0,5.287781085509955
90,AS,Ring,AS07,DBLa1,1074.395,4.742208313327603
91,AS,Ring,AS07,DBLa2,661.1730000000001,2.9183122568028996
92,AS,Trophozoite,AS08,DBLa0,4554.682000000005,23.39333213182684
93,AS,Trophozoite,AS08,DBLa2,2005.131,10.298566497248771
94,AS,Trophozoite,AS08,DBLa1,1885.1899999999998,9.682536739469096
95,AS,Trophozoite,AS08,DBLpam,8.0,0.041088852537809334
96,AS,Ring,AS09,DBLa0,2743.8970000000004,66.02248217277948
97,AS,Ring,AS09,DBLa1,258.541,6.220903540997557
98,AS,Ring,AS09,DBLpam,191.0,4.5957607355527115
99,AS,Ring,AS09,DBLa2,79.595,1.9151810248498324
100,AS,Trophozoite,AS10,DBLa0,28796.68200000001,56.307308453363724
101,AS,Trophozoite,AS10,DBLa1,5213.107000000001,10.193397414653171
102,AS,Trophozoite,AS10,DBLa2,338.93000000000006,0.6627234364743327
103,AS,Trophozoite,AS10,DBLpam,28.000999999999998,0.0547514794934582
104,AS,Ring,AS11,DBLa0,3124.0660000000034,46.893808631971126
105,AS,Ring,AS11,DBLa1,1858.641,27.89914021327826
106,AS,Ring,AS11,DBLpam,420.7559999999999,6.315760084695271
107,AS,Ring,AS11,DBLa2,144.812,2.173701264830191
108,AS,Trophozoite,AS12,DBLa0,45480.03499999997,74.49881363023867
109,AS,Trophozoite,AS12,DBLa1,4225.239000000001,6.921175254245436
110,AS,Trophozoite,AS12,DBLa2,1875.476,3.072133453546938
111,AS,Trophozoite,AS12,DBLpam,139.999,0.22932610780576115
112,AS,Trophozoite,AS13,DBLa0,21943.381999999998,75.32916242075694
113,AS,Trophozoite,AS13,DBLa2,685.2370000000001,2.3523415519864823
114,AS,Trophozoite,AS13,DBLa1,478.2529999999999,1.6417887596002414
115,AS,Trophozoite,AS13,DBLpam,280.99899999999997,0.9646379628751065
116,AS,Ring,AS14,DBLa0,9536.596,45.96836681312546
117,AS,Ring,AS14,DBLpam,4518.999,21.78251062120563
118,AS,Ring,AS14,DBLa1,3276.9139999999993,15.795403807298344
119,AS,Ring,AS14,DBLa2,826.9459999999999,3.9860508993614543
120,AS,Trophozoite,AS15,DBLa0,22376.726999999988,41.1064872714102
121,AS,Trophozoite,AS15,DBLa1,6030.461,11.078075374349243
122,AS,Trophozoite,AS15,DBLa2,436.03099999999995,0.800997516367799
123,AS,Trophozoite,AS15,DBLpam,66.0,0.12124329710565246
124,AS,Trophozoite,AS16,DBLa0,124830.48500000004,62.7695761295556
125,AS,Trophozoite,AS16,DBLa1,6217.278999999999,3.126287360889346
126,AS,Trophozoite,AS16,DBLa2,2683.0499999999997,1.3491408868146597
127,AS,Trophozoite,AS16,DBLpam,68.001,0.03419352209026432
