,Genotype_x,Sample,ATStype,Count_x,Genotype_y,Stage,DBL,Count_y,CountN
168,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLa,3082.0330000000013,74.15856673862689
169,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLb,2405.446,57.878818210954584
170,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLd,1897.2559999999994,45.65096664969524
171,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLg,1501.2659999999994,36.12282375089148
172,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLe,1286.9990000000003,30.96722236070997
173,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLz,1185.9969999999998,28.53695520986025
174,AS,AS09,ATS,4156.003999999998,AS,Ring,DBLpam,803.0,19.321444348946738
175,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLd,42904.207,83.8923184794681
176,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLa,34348.71899999999,67.16342930449119
177,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLb,27995.69800000001,54.74111227999177
178,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLg,12608.796,24.654485040934176
179,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLz,423.10499999999996,0.8273141934602204
180,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLe,379.002,0.7410778268983125
181,AS,AS10,ATS,51141.99699999998,AS,Trophozoite,DBLpam,124.0,0.24246217839322942
182,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLd,8809.534000000003,132.23555505320402
183,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLb,8466.717999999997,127.08971373615819
184,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLa,5127.519000000004,76.96665011007958
185,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLe,2405.998,36.11524525439128
186,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLpam,2252.7540000000004,33.81497541054107
187,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLg,438.26699999999994,6.5786090395363175
188,AS,AS11,ATS,6662.001000000001,AS,Ring,DBLz,67.0,1.0057038418337072
189,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLa,51580.74999999996,84.49212233803104
190,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLd,48812.21599999993,79.95711046974682
191,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLb,23768.337999999996,38.933852688603274
192,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLg,12200.124999999995,19.984479753382246
193,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLe,6340.3769999999995,10.38588832371066
194,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLz,2847.3609999999994,4.664134855591253
195,AS,AS12,ATS,61047.998999999996,AS,Trophozoite,DBLpam,470.99899999999997,0.7715224212344781
196,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLd,25750.117,88.3972555300042
197,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLa,23106.872000000003,79.32329273234369
198,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLb,10329.079,35.45856648933285
199,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLg,3524.014999999999,12.097547146934039
200,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLe,2495.0829999999996,8.565339315528913
201,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLpam,1175.998,4.037068868804514
202,AS,AS13,ATS,29129.995999999996,AS,Trophozoite,DBLz,950.9990000000001,3.2646726075760544
203,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLpam,19980.0,96.30773589719504
204,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLe,16886.997,81.39882117981607
205,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLd,15888.834000000006,76.5874688982169
206,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLa,13640.456000000002,65.74982151978527
207,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLb,8458.628999999999,40.77234273194969
208,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLg,6136.278999999999,29.578135001176374
209,AS,AS14,ATS,20745.996999999992,AS,Ring,DBLz,270.8620000000001,1.3056109089382408
210,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLd,39354.429999999986,72.29486134717577
211,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLb,28872.874999999996,53.04003881696006
212,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLa,28843.21899999999,52.98556016212726
213,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLg,9864.225000000004,18.12077518775765
214,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLz,1377.0000000000005,2.529576062340659
215,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLe,1119.002,2.0556286658760503
216,AS,AS15,ATS,54435.999,AS,Trophozoite,DBLpam,226.002,0.4151701156435101
217,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLd,214374.27500000026,107.7956428257953
218,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLa,133730.81400000007,67.24500437725962
219,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLb,124152.85499999992,62.42883766432671
220,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLg,35160.153,17.679879241519583
221,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLe,5813.017000000002,2.9230088557606813
222,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLz,2868.922999999999,1.4426049907467147
223,AS,AS16,ATS,198871.002,AS,Trophozoite,DBLpam,231.00200000000004,0.11615670342929132
