"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"ATSA1_D10_HB3var06",9.874,37.119,507.745,41.013,51.557,62.969,66.65,109.102,28.347,0,39.494,6.571,0,120.091,2.149,474.256,17.184,49.158,457.7,321.204,422.58,4.539,8.464,5.231,3.708,0,0,73.245,31.892,5.707,93.635,569.331
"ATSA1_D4_PFCLINvar34",4.077,12.654,0,14.643,4.343,3.31,0,0,27.905,21.361,0,0,2.236,0,0,0,6.064,54.997,0,0,0,0,0,0,0,0,127.863,56.977,0,92.44,14.961,0
"ATSA1_D6_AAQ73927",5.273,23.016,0,0,127.671,23.661,142.135,2654.463,14.72,14.522,99.776,0,2.678,591.063,40.362,69.23,0,348.537,41.064,4547.862,484.092,110.441,2.033,1739.032,5.523,3825.191,74.467,1259.068,32.169,0,306,256.912
"ATSA1_D8_AAQ73928",33.578,113.854,394.903,66.714,87.558,9.45,237.882,3548.396,0,6.123,88.226,116.735,0,727.854,19.509,0,26.775,226.48,272.567,1180.177,407.512,93.426,32.923,2836.138,0,2360.305,21.18,339.043,14.786,193.958,826.2,48.382
"ATSA1_D8_IT4var60",5.208,47.651,276.899,16.231,6.775,58.391,189.146,11.112,1.711,0,5.597,4.189,0,21.429,8.596,8.026,20.663,17.556,23.305,40.502,176.972,6.993,9.686,1.589,2.453,9.854,5.218,52.514,64.394,46.58,216.041,143.856
"ATSA1_D9_IT4var08",0,12.168,44.646,17.436,58.711,7.167,83.592,32.892,3.938,0,8.156,15.471,0,149.057,0,1.111,2.48,23.679,19.611,26.071,89.417,12.311,1.895,1.374,0,317.229,1.489,17.682,0,148.784,6.866,318.338
"ATSA1_D9_PFCLINvar73",44.693,40.159,175.697,4.451,33.82,14.564,40.118,75.481,8.335,4.187,53.361,29.633,1.007,10.134,8.759,0,11.169,162.232,280.262,11.375,147.899,9.287,27.803,0,3.426,1.84,53.118,1.701,25.899,69.212,255.662,26.04
"ATSA1_D9_PFCLINvar75",0,51.133,28.395,26.142,37.627,18.37,39.13,190.786,148.255,0,24.82,17.607,1.059,40.41,0,0,16.755,254.732,86.368,25.149,420.382,17.043,25.809,0,0,1.224,269.625,23.048,19.557,198.232,84.658,33.817
"ATSA1_D9_PFD0020c",107.213,125.506,18.026,49.288,38.775,21.914,83.125,36.477,7.577,0,67.281,23.254,0,186.091,23.871,0,19.908,132.302,59.086,82.084,218.139,5.848,58.572,0,11.356,101.32,52.983,24.904,10.05,4.17,13.23,92.375
"ATSA2_D8_DD2var22",8.412,58.134,8.714,7.369,21.627,26.361,43.196,0,6.889,9.267,22.641,5.865,0,312.722,22.197,135.771,0,37.271,25.334,35.998,588.924,0,13.507,0,0,303.713,0,14.1,0,181.474,18.33,0
"ATSA2_D8_DD2var42",21.981,70.96,131.529,13.084,35.082,14.748,248.422,96.054,0,8.121,80.863,12.784,0,249.072,8.073,0,10.317,28.421,601.436,115.086,104.796,0,28.303,0,1.639,0,42.323,14.093,0,40.191,1.928,69.345
"ATSA2_D8_DD2var9b",18.804,35.019,413.294,20.369,27.625,20.932,115.162,125.132,75.25,4.886,58.564,0,0,356.784,92.021,53.9,21.783,123.86,290.564,236.227,1703.526,23.898,57.61,4.477,5.676,2.268,217.196,115.951,1.374,201.262,733.044,122.072
"ATSA2_D8_HB3var02",22.026,159.652,440.045,37.155,19.346,15.874,51.215,164.544,2.712,11.808,53.568,84.274,0,240.941,29.271,0,4.044,73.769,62.029,139.301,555.58,12.292,72.99,77.153,7.076,14.354,10.953,41.826,14.153,146.698,257.545,42.472
"ATSA2_D8_HB3var05",20.797,22.206,78.251,45.469,49.117,37.995,234.358,76.555,41.272,0,66.662,37.786,0,110.938,67.303,4.841,6.71,216.698,303.132,182.484,880.313,6.555,8.756,17.303,0,0,6.662,26.888,7.321,223.651,1824.319,103.929
"ATSA2_D8_PF11_0008",9.226,22.601,30.149,59.843,0,55.296,110.937,153.257,23.281,5.15,31.074,85.903,0,347.402,1.438,0,14.121,58.531,350.446,120.903,57.432,0,33.414,3.778,6.886,0,9.708,10.071,3.74,165.374,297.295,89.306
"ATSA2_D8_PF11_0521",7.064,94.44,271.038,23.233,9.294,69.081,255.146,30.653,13.894,4.882,40.339,6.888,0,30.078,36.728,28.665,11.783,30.851,301.983,364.901,134.714,5.76,6.04,14.156,0,9.432,375.294,73.496,32.937,98.96,17.461,6.398
"ATSA2_D8_PFCLINvar33",37.924,26.625,225.071,24.121,10.361,14.225,54.843,50.043,65.961,3.302,22.657,0,8.263,21.933,22.3,0,8.351,0,40.809,42.76,278.092,11.355,40.029,5.713,0,0,6.799,35.807,19.723,172.702,23.523,49.255
"ATSA2_D9_DD2var32",20.59,38.981,213.375,33.132,11.528,26.284,49.278,101.715,31.707,6.775,19.885,0,9.496,16.459,38.102,3.205,0,160.655,149.459,31.396,178.822,7.531,12.798,13.171,4.364,0,0,330.051,14.958,88.744,731.724,9.063
"ATSA2_D9_HB3var01",3.53,125.885,0,24.7,13.941,9.59,253.991,152.042,29.19,2.099,131.532,18.812,1.133,17.981,1.443,0,26.576,47.959,27.154,62.264,56.926,3.415,5.729,4.149,5.236,39.902,15.786,6.99,4.091,2.769,212.109,781.427
"ATSA2_D9_PF13_0003",0,26.132,205.762,36.528,12.525,41.341,60.709,100.053,55.177,5.421,64.415,9.059,0,76.658,17.963,14.2,73.023,157.531,111.165,76.587,97.028,0,34.154,4.058,1.83,3.811,72.664,32.43,14.299,82.077,478.113,38.931
"ATSA2_D9_PFD1235w",28.447,28.732,4.453,29.187,43.462,41.113,57.735,36.787,23.338,11.57,54.271,100.138,4.344,171.684,51.039,22.597,6.849,106.817,230.821,47.381,268.996,7.492,4.267,40.901,23.342,152.404,301.511,9.157,14.783,68.765,334.171,13.488
"ATSA3_D10_HB3var04",0,15.041,0,0,0,0,0,5.171,0,0,0,0,0,2.837,0,432.286,0,0,0,0,0,0,3.563,0,0,0,1.361,0,0,0,0,0
"ATSA3_D8_PF08_0141",26.825,118.612,39.189,10.572,79.093,31.723,14.122,135.531,0,13.902,69.084,10.641,0,79.021,26.494,15.449,11.937,0,79.699,53.985,87.187,3.513,17.897,1.325,0,61.931,76.49,0,45.132,68.795,86.977,68.886
"ATSA3_D8_PFCLINvar32",0,34.677,94.563,19.56,3.615,6.157,57.068,73.488,1.205,0,13.286,258.573,1.046,33.085,3.736,1.056,18.873,4.766,203.624,30.275,0,3.423,43.097,2.438,1.444,0,1.967,24.902,30.387,8.868,0,56.449
"ATSA3_D9_DD2var40",0,9.612,28.038,20.042,6.746,16.022,108.052,75.715,18.97,0,2.64,80.071,5.309,6.026,1.466,10.222,0,36.966,114.552,13.253,14.359,0,0,0,3.22,8.533,134.904,9.277,3.144,0,9.58,193.525
"ATSA3_D9_IT4var22",18.088,29.496,101.983,100.126,41.08,11.821,84.553,57.198,7.361,3.519,64.78,0,7.225,8.171,36.246,118.295,10.047,119.464,253.792,223.59,567.363,38.674,12.785,31.598,0,0,46.573,54.606,19.182,4.624,62.25,45.956
"ATSA4_D10_DD2var04",0,14.849,300.489,19.223,15.217,23.884,100.986,38.873,0,2.764,26.035,24.114,0,15.218,0,0,29.454,105.094,36.385,66.233,134.227,4.27,30.691,3.96,0,4.063,0,73.941,1.278,98.38,32.777,23.997
"ATSA4_D7_DD2var52",0,54.225,285.366,65.213,76.944,47.303,272.414,41.835,0,10.074,54.4,7.415,3.19,45.58,0,2741.066,10.39,191.08,107.547,287.535,1800.995,0,21.044,0,22.82,3.734,18.912,0,7.808,92.881,2.384,361.309
"ATSA4_D7_IT4var64",0,51.987,0,0,0,0,0,0,0,0,0,0,0,0,0,4.681,0,146.253,0,0,0,4.993,0,0,0,0,13.615,0,0,0,0,0
"ATSA4_D9_DD2var43",19.164,29.847,284.424,13.355,6.379,11.356,18.499,0,10.209,0,40.202,10.958,5.95,146.202,12.036,0,8.683,108.705,395.597,208.243,265.35,0,6.293,0,7.683,0,2.055,0,0,0,16.23,258.687
"ATSA4_D9_IT4var07",5.758,25.305,131.52,9.111,9.421,8.919,34.637,14.333,2.287,0,19.532,1.712,0,19.659,14.712,0,1.081,127.332,24.953,118.993,34.743,3.781,14.854,4.192,0,177.285,0,32.017,2.671,8.087,32.852,28.708
"ATSA5_D9_IT4var02",12.168,77.568,0,10.624,0,15.704,41.38,73.316,6.769,0,77.75,0,0,157.385,17.438,0,0,125.018,44.222,160.619,0,0,0,0,6.114,0,51.593,5.305,0,0,0,7.407
"ATSA6_D8_DD2var03",0,51.634,40.471,5.144,11.701,5.792,42.2,9.004,2.861,0,18.004,24.148,3.327,149.59,16.454,13.867,12.289,0,43.728,69.428,136.1,0,11.034,1.017,0,0,0,75.96,3.088,6.448,0,9.612
"ATSA6_D9_IT4var18",9.299,25.689,93.579,31.268,8.359,8.959,96.108,213.38,0,4.967,43.558,160.03,0,6.751,28.428,18.927,0,70.352,124.862,191.014,357.877,7.523,41.331,8.607,8.554,4.406,9.752,17.447,14.662,2.775,23.727,14.117
"ATSB1_D5_PFB0010w",14.914,275.74,1391.182,173.463,34.466,0,71.059,613.125,13.382,0,252.668,130.238,1.177,71.002,13.551,1293.752,12.388,5.036,102.584,263.725,141.43,225.961,15.735,0,19.762,0,5.35,1641.185,346.107,97.533,63.853,145.58
"ATSB1_D6_DD2var18",68.31,335.645,658.721,134.908,122.386,142.96,95.143,122.394,30.233,96.172,5.565,13.069,2.677,152.001,0,65.101,20.743,29.144,208.744,72.468,54.493,6.668,196.672,575.033,0,8.682,62.872,123.29,0,84.703,354.219,196.436
"ATSB1_D6_DD2var37",89.721,184.963,1255.225,500.778,377.715,36.759,52.26,696.315,19.416,0,192.656,1270.463,5.706,298.926,31.664,1114.03,42.671,530.85,429.572,88.399,809.127,67.375,75.385,0,19.301,641.877,5.52,619.831,138.837,34.659,154.526,195.752
"ATSB1_D6_HB3var14",269.398,1154.538,4575.845,685.777,674.097,809.371,192.05,710.515,494.463,146.337,592.184,2119.121,47.556,469.608,71.824,79.01,982.219,819.354,344.492,828.441,3834.479,206.775,256.337,0,33.167,204.247,204.974,911.489,610.173,255.6,136.401,2939.249
"ATSB1_D6_HB3var18",165.646,154.291,28.133,132.987,165.765,94.254,52.169,13.777,494.014,32.969,209.673,0,14.255,50.549,29.991,1369.625,59.032,49.387,0,190.111,93.237,31.711,130.442,0,0,0,105.18,11.014,729.292,9.934,412.205,36.946
"ATSB1_D6_HB3var20",784.829,709.156,2774.952,801.568,1179.166,1138.785,561.525,642.164,308.506,14.427,212.554,1626.734,6.751,494.684,67.741,1194.104,220.288,731.023,945.154,223.981,1869.321,657.755,958.354,0,137.015,142.136,129.358,1038.467,702.923,189.652,1015.784,165.146
"ATSB1_D6_HB3var35",10.505,35.005,234.981,360.465,487.953,142.981,120.454,338.294,114.916,267.591,423.077,0,0,40.187,27.562,3551.758,25.887,15.767,665.265,388.806,652.087,36.409,1085.343,712.709,0,4.534,54.605,664.052,570.558,111.604,266.988,189.958
"ATSB1_D6_HB3var36",2.984,0,158.933,66.065,30.915,8.58,53.487,39.488,30.965,47.557,57.672,35.562,6.174,40.485,74.848,171.106,11.725,76.502,132.698,84.476,98.641,167.992,18.976,0,0,8.897,0,117.3,126.274,79.032,246.162,16.209
"ATSB1_D6_HB3var47",71.803,297.326,1723.035,101.442,783.538,30.097,73.268,171.453,307.575,0,138.964,628.521,0,125.445,32.207,2690.925,66.024,62.086,341.944,823.653,279.897,63.118,128.039,3.707,36.985,367.392,14.159,66.99,92.818,27.148,105.04,458.815
"ATSB1_D6_IT4var05",5.524,35.557,626.785,425.044,46.171,55.586,107.173,175.091,0,56.328,83.164,357.304,0,411.596,6.491,334.115,0,7.616,177.551,204.148,221.943,17.661,248.556,0,25.284,0,0,865.152,193.209,0,1027.947,4292.308
"ATSB1_D6_IT4var24",13.425,368.45,423.396,622.843,705.64,250.309,117.006,83.111,15.186,218.594,901.427,1056.866,17.927,73.231,50.728,13587.572,195.254,52.364,565.569,117.116,730.524,126.397,25.594,0,20.354,0,44.873,954.494,35.204,103.682,399.537,5471.061
"ATSB1_D6_IT4var26",60.528,176.635,404.171,175.541,153.372,0,109.313,182.552,911.86,35.874,93.592,15.366,26.95,169.065,9.121,67.249,214.123,189.832,401.963,317.535,171.116,0,123.175,0,22.767,70.643,0,201.551,68.429,166.499,1069.904,474.068
"ATSB1_D6_IT4var45/var61",83.175,328.193,645.901,393.326,376.468,734.425,167.333,222.799,45.749,79.242,31.185,653.612,82.416,235.877,73.142,325.318,76.027,240.74,1119.901,73.2,128.221,87.168,33.347,0,42.953,1426.699,42.514,406.865,404.995,149.21,134.528,570.126
"ATSB1_D6_IT4var54",81.179,53.314,385.609,67.274,149.002,39.631,194.629,192.224,68.717,17.481,255.151,17.872,5.365,76.906,35.372,997.914,242.088,67.94,39.72,211.064,233.642,23.762,3.104,0,7.07,2028.564,3.022,315.189,297.896,0,324.808,187.715
"ATSB1_D6_MAL7P1.212",107.934,202.66,1475.152,161.719,625.133,309.186,114.143,245.624,6.866,1.607,143.481,497.408,9.929,61.552,49.887,786.11,75.061,323.121,147.622,313.546,323.352,107.259,77.459,0,0,1.508,7.224,689.559,387.944,32.829,191.628,9263.107
"ATSB1_D6_MAL7P1.56",174.73,1275.221,1874.036,348.613,915.698,0,109.631,223.73,264.548,81.794,286.548,260.391,15.072,543.014,69.108,7064.703,26.461,330.884,364.494,331.874,278.636,161.677,235.542,0,29.776,259.445,0,382.262,258.592,222.187,711.866,7990.827
"ATSB1_D6_MAL8P1.220",136.116,152.171,1399.659,623.821,502.078,321.949,252.823,919.393,320.082,58.785,540.706,1290.642,35.212,203.076,22.117,2015.945,123.696,705.2,186.802,215.608,300.218,286.156,131.596,882.276,27.739,532.979,56.625,44.616,348.483,257.904,1017.728,262.84
"ATSB1_D6_PF08_0142",402.977,55.625,3744.613,263.622,389.812,143.809,105.062,164.822,313.634,22.895,270.885,101.169,1.374,136.151,32.493,470.721,428.409,285.867,66.629,411.576,693.722,195.767,83.509,1110.003,35.865,285.895,35.065,380.71,268.454,95.849,1390.544,3359.584
"ATSB1_D6_PF10_0001",110.109,555.837,2526.622,187.203,767.363,91.101,203.222,872.987,41.866,69.576,658.127,398.867,9.953,292.846,42.336,315.899,196.066,950.992,455.588,389.282,667.405,114.383,162.22,0,283.723,2920.676,149.363,776.864,1266.461,777.04,796.923,1402.512
"ATSB1_D6_PF10_0406",1.934,28.206,1015.455,295.63,413.864,127.926,108.819,37.071,59.387,113.685,583.467,1161.138,42.672,37.59,39.091,187.27,38.755,123.136,9.633,332.533,63.448,10.042,8.397,16.205,94.714,51.526,5.128,561.221,162.279,108.08,124.316,224.909
"ATSB1_D6_PF13_0364",98.134,35.252,1062.283,280.881,338.185,474.209,78.807,634.063,247.141,45.508,115.845,679.493,9.175,108.55,6.396,1416.837,56.188,171.746,104.436,85.958,130.93,97.767,18.196,1080.045,92.358,3370.897,46.08,46.568,225.012,371.107,255.464,19814.952
"ATSB1_D6_PFA0765c",15.741,59.427,639.651,168.82,285.071,80.433,50.426,145.447,322.156,0,237.409,837.966,0,43.666,46.84,3932.13,495.61,145.364,296.238,14.923,816.033,75.981,92.689,0,9.364,80.263,28.086,150.091,155.155,88.535,209.723,315.609
"ATSB1_D6_PFB1055c",6.408,742.479,1605.681,641.037,754.986,120.591,200.428,73.508,185.517,80.403,925.492,780.798,29.8,135.622,91.609,798.911,283.033,85.473,547.591,594.837,1659.33,199.216,214.52,2.737,57.401,241.599,98.087,1663.438,365.226,179.469,860.597,96.413
"ATSB1_D6_PFC0005w",49.57,31.14,4864.243,363.256,5.571,0,30.251,160.441,160.977,6.779,248.933,0,0,91.478,81.922,3.86,88.59,0,390.196,100.295,0,60.915,15.97,5.636,0,0,47.313,0,17.124,121.583,547.382,7.44
"ATSB1_D6_PFC1120c",115.261,66.425,983.726,161.602,622.224,0,160.2,586.715,386.255,0,529.986,29.225,0,207.585,13.576,614.633,85.593,29.957,400.98,735.585,52.046,115.489,383.499,187.416,0,68.874,0,28.017,78.341,142.87,91.656,44.697
"ATSB1_D6_PFCLINvar37",51.511,24.433,452.027,363.333,840.737,146.776,47.686,113.014,157.529,181.038,83.221,1096.895,4.998,203.282,19.754,1061.097,126.123,113.461,489.577,643.998,752.768,28.99,279.261,0,40.611,850.2,33.092,579.621,125.575,158.523,2137.599,6092.597
"ATSB1_D6_PFCLINvar55",118.514,34.86,732.87,204.37,280.679,394.507,78.432,76.828,19.268,18.063,61.583,553.45,3.581,53.926,30.302,719.624,947.891,175.538,114.435,125.169,96.462,7.126,304.934,267.404,107.448,22.971,12.775,897.856,322.444,126.135,158.731,49.022
"ATSB1_D6_PFCLINvar59",24.765,34.28,686.407,144.406,100.287,64.568,63.111,161.992,335.288,15.313,301.871,837.834,0,206.3,8.024,247.425,70.5,656.714,79.291,199.674,178.757,21.819,56.798,0,30.23,386.402,0,287.733,122.432,339.69,453.434,1451.738
"ATSB1_D6_PFE0005w",0,10.916,1185.187,223.21,153.742,32.53,269.28,731.849,939.619,31.722,495.323,476.878,11.826,650.93,21.69,461.366,161.158,136.174,247.637,1225.486,294.629,122.937,96.494,0,41.429,7946.815,10.897,228.22,698.646,9.148,8833.1,711.736
"ATSB1_D6_PFI1830c",14.287,246.535,631.51,113.315,199.378,82.819,83.95,141.686,67.349,0,225.224,1513.17,0,164.217,37.768,1005.868,183.992,45.152,219.037,223.101,106.267,28.794,160.654,13.535,13.834,175.78,42.736,705.69,36.81,206.408,24.346,39.622
"ATSB1_D7_DD2var29",43.822,84.781,639.087,57.981,296.124,4.08,23.795,224.194,80.076,0,111.006,20.741,13.141,37.804,4.46,464.9,314.054,92.163,38.413,61.592,0,26.497,39.33,98.356,0,26.362,11.563,20.513,107.44,11.595,13.385,39.13
"ATSB1_D7_HB3var10",93.948,168.923,833.029,67.426,420.518,3.977,32.427,135.305,39.932,3.44,94.235,429.492,13.712,78.438,33.09,20.955,328.416,185.194,151.758,304.153,355.817,41.508,42.945,0,13.282,74.808,10.478,601.842,234.8,35.219,226.377,253.39
"ATSB1_D7_HB3var11",20.367,205.554,952.942,60.918,547.988,92.461,116.602,72.555,331.153,388.872,213.008,838.496,2.71,88.554,140.171,45.214,64.342,73.747,136.323,83.206,166.407,51.267,21.692,759.147,129.774,918.015,66.052,497.51,228.846,37.987,432.827,25.988
"ATSB1_D7_IT4var11",68.114,97.472,31.28,60.385,6.415,40.176,64.473,758.003,0,0,74.851,542.294,13.632,75.651,12.734,1166.324,82.961,57.792,92.391,151.472,504.241,61.038,8.003,0,86.713,3.385,7.169,261.204,197.123,20.623,59.087,397.864
"ATSB1_D7_PF07_0139",109.124,354.847,475.941,421.849,109.219,406.099,79.658,619.321,130.064,0,779.016,3608.093,63.566,188.459,14.714,48.057,195.796,325.428,306.396,494.228,409.315,163.711,903.968,205.445,109.886,122.612,175.132,977.426,164.756,348.886,436.077,2396.281
"ATSB1_D7_PFD0005w",228.51,303.072,1433.168,205.034,238.909,0,157.127,247.74,560.296,289.784,259.626,530.523,24.301,61.31,58.567,6013.101,59.115,355.589,6.154,268.453,409.77,39.171,44.587,18.92,46.686,22.48,69.127,649.788,413.779,105.856,967.472,94.884
"ATSB1_D8_AAB60251",23.008,82.318,249.415,156.51,409.809,53.475,90.249,415.595,4.588,188.105,155.006,700.315,19.841,55.058,6.326,2280.176,43.001,157.609,88.769,88.97,207.907,213.009,54.696,0,11.578,9.303,50.688,2099.687,98.439,65.166,97.894,1377.281
"ATSB1_D8_HB3var09",123.286,142.157,1259.978,247.335,768.74,260.02,115.472,115.05,154.409,24.017,195.966,776.82,5.045,156.321,41.899,405.057,101.537,311.29,517.687,532.58,237.265,169.523,152.569,7.667,46.525,325.112,14.936,354.461,78.877,178.045,265.288,118.418
"ATSB1_D8_HB3var40",285.38,135.839,3958.959,262.796,475.45,364.613,261.172,130.028,33.426,0,175.381,93.525,0,253.737,66.389,2060.311,175.055,391.113,94.766,780.577,723.199,79.693,43.784,0,0,975.412,24.307,901.81,604.308,179.026,788.129,3834.377
"ATSB1_D8_PF08_0140",75.445,255.208,385.269,447.321,564.575,97.174,174.49,433.177,149.726,649.927,403.462,1872.311,5.161,116.894,86.084,469.948,518.884,0,756.12,275.72,153.708,128.987,293.848,1195.841,55.031,76.854,70.243,1058.019,474.828,211.393,34.136,61.771
"ATSB1_D8_PFCLINvar06",184.698,534.517,245.512,256.8,104.851,212.509,42.655,220.505,115.391,0,170.264,66.506,0,211.467,81.358,289.502,287.112,154.211,46.692,256.91,1831.349,120.773,423.803,14.864,58.193,0,88.08,451.933,268.816,56.489,94.183,532.051
"ATSB1_D9_PFCLINvar74",0,224.973,132.865,100.906,145.681,1608.595,30.758,292.781,68.914,0,172.245,40.62,1.563,207.661,0,6937.91,70.786,32.289,600.669,213.769,79.139,376.608,345.806,167.62,15.715,29.783,73.907,499.25,144.121,0,66.842,85.386
"ATSB10_D3_PREICHvar37",1.441,0,419.407,16.059,3.599,1.109,3.013,17.327,2.095,0.99,7.04,42.448,0,1.448,0,1.327,5.012,3.433,113.797,0,4.709,2.501,3.25,117.067,0,0,0,12.964,0,5.709,0,283.81
"ATSB10_D4_PREICHvar77",1.077,5.584,76.777,16.987,20.471,46.671,15.254,74.15,0,0,10.12,118.672,1.037,18.798,7.953,19.657,3.991,0,22.758,34.741,44.903,0,1.126,0,0,43.688,2.279,12.213,0,2.551,32.9,0
"ATSB10_D6_DD2var33",1.113,50.311,119.614,5.399,33.014,31.272,1.139,5.233,0,0,0,3.244,0,4.345,0,8.856,69.38,64.631,14.074,2.66,19.231,3.527,2.699,1216.51,2.139,0,2.701,20.305,0,2.282,14.577,545.798
"ATSB10_D6_HB3var29",1.113,50.311,119.614,5.399,33.014,31.272,1.139,5.233,0,0,79.927,0,0,4.345,0,8.856,0,64.631,14.074,2.66,19.24,3.527,2.699,1216.51,2.139,0,2.701,20.305,16.775,2.282,14.577,545.798
"ATSB10_D6_IT4var23",0,0,0,0,0,0,0,0,0,0,6.164,0,7.076,0,0,0,16.636,0,0,0,3.769,0,0,0,0,0,0,0,0,0,0,0
"ATSB10_D6_PFD0615c",6.003,3.755,0,7.984,0,5.905,9.473,1761.859,5.923,0,47.131,13.602,0,1.49,1.795,675.075,0,0,0,0,6.368,5.02,16.17,0,0,0.973,0,1.184,120.621,0,2.379,0
"ATSB11_D6_HB3var32",0,0,88.971,0,27.911,1.46,0,8.984,0,0.667,6.614,0,0,0,0.203,0,0,0,0,0,3.205,0.769,0,2.5,0.2,0,0,0,0,0,0,12.248
"ATSB11_D6_IT4var62",0,0,0,0,22.308,11.197,0,60.098,0,0,3.827,0,0,2.239,0.203,0,0,0,0,11.81,0,2.618,2.233,0,0.2,0,0,0,0,5.377,0,0
"ATSB11_D6_PFCLINvar64",0,0,0,0,0,1.46,0,8.984,0,0.667,6.614,0,0,0,0.203,0,20.644,0,0,0,0,0.769,0,2.5,0.2,4.029,0,4.11,0,5.377,0,0
"ATSB11_D6_PFD0995c",0,10.481,0,18.59,27.738,0,0,0,3.681,0.667,0,0,0,0,0.203,12.757,70.173,0,14.586,0,37.485,0,2.442,0,0.2,0,0,4.11,0,0,3.885,0
"ATSB11_D8_DD2var36",0,0,173.783,32.624,0,0,0,20.664,0,0,34.566,19.044,0,7.51,0.203,3.662,0,0,0,4.269,0,0,9.943,0,0.2,0,0,0,10.821,0,0,0
"ATSB11_D8_HB3var25",0,0,0,0,0,1,0,0,0,0,0,0,0,19.001,0,0,0,0,0,0,0,1.596,0,0,0,0,6.424,0,0,0,0,2.432
"ATSB12_D6_DD2var12",0,9.258,10.073,11.589,193.958,3.283,8.587,17.878,0,0,18.372,0,0,19.184,0,47.525,5.513,0,26.202,6.639,14.129,0,4.141,2.161,0,3,0,0,6.95,0,0,2.005
"ATSB12_D6_HB3var33",6.58,10.242,0,22.971,34.111,6.353,0,4.63,2.015,0,11.096,0,0,0,0,18.859,0,0,2.093,5.111,0,27.686,1.083,0,0,2.002,1.199,48.164,0,0,0,0
"ATSB12_D6_IT4var34",0,20.895,65.503,0,28.679,6.01,11.178,7.881,5.504,0,6.429,1.993,0,29.434,2.139,1.293,1.683,0,0,5.547,0,22.38,50.615,0,0,0,0,13.194,13.623,6.175,32.48,40.54
"ATSB12_D6_PF07_0051",0,142.415,1513.896,73.467,0,2.283,0,25.238,1.91,0,33.385,11.56,0,55.136,0,24.754,0,0,48.999,33.057,0,0,1.313,0,0,0,0,0,0,1.867,0,0
"ATSB12_D6_PFCLINvar60",0,0,6.866,0,14.227,2.127,0,0,0,0,0,0,0,9.317,0,6.466,0,7.813,0,9.434,8.025,13.893,10.782,0,0,0,1.612,31.381,0,1.745,14.916,0
"ATSB12_D7_DD2var46",0,0,12.504,4.323,0,0,0,0,0,0,0,3.028,0,0,0,1.857,1.162,4.801,24.759,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATSB12_D8_HB3var24",4.457,0,202.703,4.457,32.957,2.211,0,1.296,0,0,0,0,0,7.883,0,146.864,0,0,0,64.115,185.589,10.435,0,0.998,0,0,0,605.353,10.509,12.049,66.639,1742.342
"ATSB13_D6_DD2var10",0,0,297.323,0,0,9.508,0,6.251,390.903,38.944,0,5.5,0,14.79,0,25.39,52.152,0,10.683,7.334,45.696,1.981,9.222,0,3.441,205.188,3.768,0,0,0,0,175.213
"ATSB13_D6_MAL7P1.55",12.458,8.466,0,127.672,8.77,0,12.983,2.458,188.213,0,404.122,86.766,0,77.156,24.735,386.978,137.166,0,0,0,7.862,24.702,2.774,0,121.113,97.605,0,0,218.158,77.201,0,1202.269
"ATSB13_D7_DD2var13",0,86.939,293.849,40.319,137.566,164.014,0,113.313,0.005,0,67.463,120.108,13.652,84.201,7.396,0,67.866,0,45.613,133.515,0,48.358,6.77,0,0,0,0,458.433,118.473,66.631,0,1185.961
"ATSB13_D7_DD2var34",42.132,275.46,113.97,119.117,128.941,134.431,13.913,246.226,0,1.714,92.931,176.993,0,169.084,16.586,27.948,129.658,43.452,0,20.086,0,55.406,0,4.39,14.119,16.696,0,78.431,7.79,194.836,153.505,1.371
"ATSB13_D7_IT4var15",0,0,0,0,123.093,0,134.254,0,422.951,0,0,0,0,0,0,18.477,0,37.838,107.548,0,3098.534,0,0,0,0,0,0,0,69.884,0,24.579,142.291
"ATSB14_D6_IT4var21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.249,22.012,0,0,0,0,0,0,0,0,0,0,10.995,0,0,0,0
"ATSB14_D6_ITvar59",14.628,63.632,93.515,22.306,6.999,19.728,34.323,72.247,78.271,4.339,40.392,27.262,0,36.434,0,114.473,0,40.325,139.208,76.827,62.812,3.558,44.984,4.061,23.602,5.689,8.008,33.399,94.146,82.725,5.793,402.167
"ATSB14_D6_PF08_0106",29.902,9.188,353.084,50.285,18.333,473.275,28.097,232.472,3.9,1.287,32.781,85.515,0,137.892,0,22.529,17.258,251.309,144.02,43.6,44.612,29.662,93.363,1.435,9.252,980.151,0,58.208,0,24.586,84.563,123.054
"ATSB15_D3_PFCLINvar21",0,0,0,0,12.567,0,0,0,0,0,0,2.387,0,116.828,0,297.494,18.567,0,0,70.28,349.331,0,0,0,0,6.923,0,0,0,0,0,0
"ATSB15_D6_DD2var11",0,16.524,19.877,139.016,82.82,8.705,0,0,82.58,16.845,90.408,76.643,0,66.03,0,380.542,20.607,159.427,0,0,0,0,32.281,0,0,6.924,0,21.835,0,59.806,22.803,90.989
