"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"DBLz6_D7_IT4var08",0,26.533,97.024,0,19.821,1.143,8.426,4.45,0,0,1,19.945,0,9.76,0,23.29,0,0,6.365,0,0,1.001,41.123,0,8,37.046,1,3.332,53.347,1,15.02,5.671
"DBLz6_D8_DD2var50",0,0,5.987,1,0,5.884,8.777,0,0,0,1,0,0,1.963,0,102.94,12.041,0,1.468,5.53,0,2.002,9.499,0,2.005,0,0,0,9.23,0,0,26.546
"NTSA1_D1_AJ420411",0,60.999,0,1.103,0,0,2.069,0,56,0,0,31.519,0,0,0,0,0,0,0,89.501,0,0,29.336,0,0,3.001,0,0,0,0,0,0
"NTSA1_D1_HB3var1csa",1,0,211.179,21.897,0,22.018,3.787,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,51.664,0,0,0,16.088,0,6,1,0,0
"NTSA1_D1_IGHvar11",0,1,0,0,0,0,24.957,0,0,14,17.969,117.481,0,37,0,0,0,0,0,14.75,0,0,0,0,0,8.999,0,63.054,0,0,95,0
"NTSA1_D1_PFCLINvar76",0,0,7.873,0,21.105,3.142,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.808,0,63.719
"NTSA1_D1_PFE1640w",38,2,92.948,23,560.895,10.84,21.187,111,1,0,251.031,0,1,22,0,225,103,116,188,0,0,51,31,0,4,0,0.912,9.946,27,1.192,1,364.281
"NTSA1_D1_TM284var03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA2_D1_HB3var02",0,0,0,0,0,0,0,0,0,0,0,3.569,0,0,0,0,2.247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NTSA2_D1_HB3var06",0,0,0,0,0,0,6.992,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
"NTSA2_D1_IGHvar10",0,0,0,0,0,1.056,3,0,0,0,0,0,0,0,0,0,0,0,2,1.499,0,0,0,0,0,11,0,0,0,0,0,0
"NTSA2_D1_IGHvar14",0,0,0,0,0,0,1,0,0,0,0,1.432,0,0,0,0,0,0,10.271,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA2_D1_IGHvar30",0,0,0,0,0,0,15.868,0,1,0,0.5,0,0,0,0,0,0,0,3.799,0,0,1.061,0,0,0,0,12,0,0,0,0,13
"NTSA2_D1_IT4var22",0,0,0,1,0,0,15.433,0,0,0,0.5,0,0,0,5,0,0,0,2,1.501,0,0,2,0,0,0,0,0,1.991,1,0,0
"NTSA2_D1_PFCLINvar48",0,0,0,0,0,1,0,0,0,0,1.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA2_D1_PFCLINvar73",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.728,0,11.686,9,0,1,0,0,0,0,0,0,0,11,0,0
"NTSA2_D1_PFD1235w",0,0,0,0,1.25,0,0,0,0,0,37.943,0,0,0,0,0,0,0,35.785,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA3_D1_AAQ73929",0,0,0,0.994,0.998,0,20.743,32.348,0,0,0,0,0,2.298,0,0,0,22.182,19.548,0,0,1.38,0,0,1.972,0,0,0,0,0,5.819,3.868
"NTSA3_D1_DD2var22",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"NTSA3_D1_DD2var43",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,8,0,0,0,0
"NTSA3_D1_HB3var05",0,0,0,2.5,2,0,0,0,0,0,14.006,0,0,1.043,0,0,0,0.5,19.722,0.5,0,0,0,0,0,0,0,0,0,5.56,182.941,1
"NTSA3_D1_IGHvar09",1.002,0,0,1.974,11.392,0,0,0,1.215,0,0,0,0,4.684,0,0,0,0,15.813,14.908,0,5,15.001,2.456,0,0,0,0,0,4.583,0,1
"NTSA3_D1_IGHvar32",0.998,0,0,1.46,1.2,0,0,0,0,0,1,0,0,30.373,1,0,0,0,0,6.356,0,0.997,0,1.44,10.019,0,0,1,0,0,0,0.981
"NTSA3_D1_IT4var18",0,0,0,9,0,0,3.921,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5.002,0,7,0,0,0,0.5,0,0,0
"NTSA3_D1_MAL6P1.314",0,1,0,20,23.016,5,40.706,0,2,0,11,0,0,5.27,4,0,0,0,29.943,268.513,0,12.562,8.002,0,4.009,0,0,2,7,0,0,1.143
"NTSA3_D1_PF13_0003",0,0,0,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19.722,0.5,0,0,0,0,0,0,0,0,0,4.44,0,2
"NTSA3_D1_PFA0015c",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,2,135,0,0,0,41
"NTSA3_D1_PFCLINvar32",0,0,0,0,4.691,0,0,0,0,0,0,0,0,0,0,0,0,7.028,0,58.022,0,0,0,0,0,0,8.407,0,0.5,0,0,2.734
